Epochs,Test Accuracy,Train Accuracy,ProbAct Sigma Value
190,50.77,99.94,2.443878770463925e-07
191,50.65,99.956,-1.6130688891280442e-05
192,50.73,99.936,2.803449569910299e-05
193,50.85,99.954,1.793453520804178e-05
194,50.82,99.95,4.7782218643988025e-06
195,50.82,99.932,1.5951796740409918e-05
196,50.95,99.946,5.7906843721866614e-05
197,50.88,99.95200000000001,-2.298604522366077e-05
198,50.75,99.94200000000001,-7.565091073047371e-05
199,50.75,99.93799999999999,-7.922627446532715e-06
